,Status,AFP,APOBEC3A,ART3,CCL7,CXCL10,CXCL9,DNAH7,GRID2,HTR3A,KRT78,LAMP3,MYLK2,PGBD5,POTEKP,RAET1L,SLC28A2,SOX11,SPHK1,TH,TMEM171,TNRC18P1,TREM1,TTC6,UGT2B15,VRTN
Sample15,1,4.247927513,10.47978026,10.54109662,8.409390936,14.36146407,14.93041395,4.169925001,0,7.562242424,6.209453366,10.87190524,5.882643049,6.727920455,6.442943496,7.499845887,4.087462841,8.64385619,9.812177306,5.832890014,8.357552005,2,6.409390936,2.321928095,1,5
Sample16,1,1,7.714245518,8.97441459,7.826548487,12.62753388,11.1176431,4.857980995,0,5.614709844,8.985841937,10.75988818,7.813781191,10.65910396,1,8.539158811,3.807354922,10.99364606,9.63481105,1,7.813781191,1.584962501,7.22881869,1,0,8.262094845
Sample17,1,4.169925001,6.794415866,8.21916852,6.686500527,9.77148947,10.25502857,2.807354922,5.129283017,4.247927513,6.189824559,8.005624549,7.392317423,5.129283017,5.672425342,5.321928095,4.459431619,9.324180547,8.011227255,0,5.700439718,2.584962501,7.339850003,2.807354922,1,3.906890596
Sample18,1,0,1,7.483815777,0,7.238404739,6.539158811,4.700439718,1,0,7.562242424,6.087462841,8.082149041,6.392317423,1,0,3,10.10590851,9.495855027,0,4.754887502,3.700439718,4.807354922,5.044394119,0,4.906890596
Sample19,1,3.584962501,9.383704292,6.62935662,8.033423002,11.87728413,11.9076418,3,1,0,5.64385619,9.888743249,7.523561956,8.957102042,5.044394119,7.900866808,4.392317423,11.71596199,10.8153833,6.87036472,5.882643049,2.321928095,7.159871337,3,0,7.022367813
Sample20,1,0,5.426264755,6.475733431,0,8.353146825,8.044394119,5.491853096,4.754887502,1,6.64385619,6.129283017,8.092757141,5.459431619,3.700439718,0,2.584962501,2.807354922,8.596189756,0,3.807354922,5.882643049,4.807354922,6.303780748,0,0
Sample21,1,0,9.321928095,11.23062093,9.301496195,12.44811631,12.51496056,3.906890596,1,10.5574637,6.409390936,11.80493767,8.640244936,10.35645197,5.491853096,7.366322214,4.392317423,9.861086906,8.30833903,6.169925001,8.144658243,3.169925001,7.622051819,1,4.700439718,9.226412193
Sample22,1,0,7.924812504,9.493855449,5.672425342,10.46250227,9.076815597,6.523561956,4,1,9.164906927,7.087462841,8.581200582,5.584962501,5.614709844,6.475733431,6.06608919,8.900866808,8.768184325,5.426264755,7.960001932,3.807354922,6.491853096,1,0,0
Sample23,1,0,8.665335917,10.94178124,9.144658243,11.70347105,11.05596023,2.584962501,6.539158811,4.754887502,8.82336724,9.457380879,7.169925001,9.712527,5.523561956,7.199672345,4.64385619,10.59525748,8.851749041,5.459431619,7.011227255,3.321928095,6.845490051,2.321928095,0,10.9505559
Sample24,1,1,8.936637939,11.7652861,9.525520809,14.58894882,10.90162116,9.002815016,4.392317423,7.894817763,5.426264755,12.66777684,7.499845887,10.91139199,4.857980995,9.768184325,4.459431619,10.04575966,10.66711154,0,9.430452552,3.700439718,8.438791853,3.807354922,0,6.426264755
Sample25,1,0,7.768184325,11.80493767,6.321928095,11.01611184,11.55842071,6.06608919,0,5.426264755,10.81217731,9.055282436,8.744833837,9.754887502,6.339850003,7.276124405,2.807354922,11.36194377,9.899356923,7.357552005,7.459431619,2,7.50779464,1,0,10.22520744
Sample26,1,3.584962501,7.6794801,7.321928095,7.033423002,9.991521846,10.34651373,3.906890596,4.247927513,5.247927513,6.845490051,7.936637939,9.682994584,5.554588852,6.965784285,5.554588852,3.906890596,10.13699111,11.05934446,1,4.584962501,4.392317423,5,1.584962501,0,4.169925001
Sample27,1,5.781359714,7.930737338,12.88950396,8.527477006,12.93424373,11.53576138,6.820178962,0,8.247927513,4.459431619,10.49785184,6.475733431,11.51471405,8.303780748,8.312882955,4.64385619,10.69348696,8.614709844,6.209453366,8.499845887,3.906890596,8.113742166,4.857980995,1,6.247927513
Sample28,1,0,9.440869168,8.554588852,9.6794801,10.9505559,8.836050355,4.321928095,5.554588852,9.294620749,9.415741768,10.65194861,8.487840034,10.29806257,7.665335917,8.317412614,2.321928095,11.38747887,8.055282436,8.915879379,6.357552005,2.584962501,9.603626345,2,0,6.06608919
Sample29,1,0,7.357552005,8.523561956,8.924812504,13.65743011,13.99090169,5.906890596,0,6.426264755,6.475733431,9.794415866,8.515699838,9.579315938,4.321928095,8.573647187,6.409390936,11.50233458,9.01402047,4.906890596,7.409390936,2.584962501,8.303780748,2.321928095,4.906890596,5.247927513
Sample30,1,0,9.529430554,9.09011242,8.816983623,12.77128312,13.21021472,3.807354922,8.577428828,5.285402219,4.392317423,9.550746785,6.569855608,7.6794801,0,5.807354922,5.882643049,9.56414949,8.396604781,4.95419631,6.87036472,4.754887502,6.918863237,2.321928095,0,0
Sample31,1,0,8.531381461,10.72024426,5.247927513,10.75988818,8.707359132,8.016808288,5.169925001,6.727920455,1,7.366322214,6.965784285,5.459431619,0,6.409390936,5.129283017,5.832890014,7.383704292,4.087462841,8.276124405,1,6.781359714,2.584962501,0,1
Sample32,1,1,7.761551232,10.59618976,0,10.68035952,8.276124405,4.754887502,0,5.087462841,8.092757141,7.055282436,7.965784285,8.906890596,5.044394119,8.724513853,6,9.594324604,9.724513853,5.95419631,5.554588852,2,8.339850003,2.584962501,0,6.491853096
Sample33,1,3.459431619,7.607330314,8.64385619,6.845490051,9.731319031,9.131856961,5.357552005,1,6.727920455,4.321928095,7.651051691,6.392317423,8.640244936,7.312882955,8.741466986,5.426264755,9.930737338,10.80896417,9.804131021,6.409390936,3.169925001,8.189824559,3.807354922,0,7.199672345
Sample34,1,4.807354922,7.577428828,12.16364968,9.696967526,13.36262878,11.40407714,5.247927513,4.906890596,6.459431619,5.700439718,10.27844946,6.129283017,12.05154884,8.751544059,9.607330314,3.459431619,11.04028972,9.463524373,5.169925001,7.266786541,4.169925001,9.917372079,4.392317423,4.906890596,4.392317423
Sample35,1,1,7.77478706,8.303780748,5.584962501,10.55554777,9.126704473,5.169925001,4.169925001,1,5.977279923,6.108524457,8.430452552,6.209453366,4.807354922,4.754887502,5.285402219,10.06608919,10.46658634,3.906890596,5.426264755,1.584962501,9.339850003,2.321928095,0,1
Sample36,1,5.857980995,7.857980995,9.453270634,1,13.97199253,14.84828061,6.392317423,5.321928095,8.413627929,1,11.11243951,6.247927513,8.139551352,9.011227255,5.882643049,7.108524457,9.233619677,9.424166289,4.584962501,7.055282436,4.807354922,6.303780748,6.044394119,6.906890596,1
Sample37,1,1,7.554588852,8.724513853,5.807354922,12.20120501,11.82853321,4.857980995,0,5.321928095,4.392317423,9.076815597,7.50779464,10.57364719,4.64385619,9.859534786,2.807354922,8.194756854,10.11243951,6.942514505,8.73809226,3.459431619,8.724513853,1.584962501,0,4.754887502
Sample38,1,4.087462841,8.503825738,7.714245518,7.924812504,11.97441459,11.61976146,4.459431619,6,9.560332834,8.703903573,9.06608919,7.912889336,10.06474276,6.022367813,9.517669388,2.321928095,12.12088584,9.876516947,7.247927513,8.033423002,2.584962501,7.357552005,5.614709844,1,0
Sample39,1,3.459431619,8.665335917,6.768184325,8.845490051,12.15038197,11.49635449,5.357552005,4.247927513,7.727920455,4.906890596,9.204571144,9.379378367,5.64385619,10.73047014,1,5.832890014,11.39446269,7.64385619,4.169925001,6.442943496,4.807354922,5.930737338,10.04302728,4.523561956,4.700439718
Sample40,1,4,9.537218401,9.216745858,9.21916852,13.06928192,10.4918531,4,1,4.807354922,5.554588852,9.54689446,6.247927513,6.266786541,7.900866808,8.873444113,1,6.599912842,10.39016896,4.584962501,5.357552005,3,7.888743249,4.459431619,5.129283017,1
Sample41,1,0,6.209453366,6.209453366,0,8.607330314,10.3553511,4.95419631,0,7.781359714,6.266786541,7.169925001,4.906890596,7.592457037,0,9.392317423,1,4.64385619,9.909893084,6.523561956,5.247927513,3,4.169925001,1.584962501,4.169925001,6.087462841
Sample42,1,4.169925001,8.22881869,7.584962501,8.77807713,15.0868826,13.96803674,5.64385619,0,6.189824559,5.426264755,11.02652344,6.599912842,7.159871337,5.832890014,8.558420713,1,11.10852446,9.37721053,1,9.586839788,2.321928095,6.794415866,3.169925001,0,0
Sample43,1,0,7.451211112,7.14974712,6.392317423,9.558420713,7.876516947,7.303780748,1,1,4.247927513,6.569855608,9.667111542,6.087462841,5.169925001,7.839203788,4.169925001,10.81297947,9.588714636,5.459431619,6.442943496,3,7.864186145,2.321928095,0,5.459431619
Sample44,1,3.321928095,5.554588852,0,8.463524373,6.906890596,6.285402219,5.882643049,4,5.044394119,7.483815777,5.459431619,6.303780748,7.442943496,3.807354922,8.335390355,4,7.383704292,9.475733431,3.459431619,6.700439718,1.584962501,8.861086906,1,0,4
Sample45,1,0,6.741466986,7.826548487,6.247927513,13.01419487,11.59944798,4.169925001,4.64385619,6.714245518,4.857980995,7.864186145,7.055282436,7.257387843,4,6.768184325,3,8.618385502,8.87958325,4.169925001,6.108524457,2,7.400879436,1,0,4.087462841
Sample46,1,0,7.64385619,5.584962501,0,10.35424938,8.209453366,2,0,1,6.700439718,8.262094845,7.442943496,4.754887502,5.285402219,6.169925001,0,11.08015131,10.4655664,4.169925001,7.392317423,1,4.906890596,1,0,4.087462841
Sample47,1,7.392317423,6.569855608,6.965784285,1,9.592457037,9.766528909,6.672425342,4,8.744833837,4.169925001,8.614709844,4.321928095,6.209453366,10.88798213,4.754887502,4,5.491853096,8.027905997,6.266786541,5.754887502,5.857980995,5.781359714,6.894817763,6.554588852,7.392317423
Sample48,1,3.807354922,5.754887502,5.491853096,6.409390936,8.21916852,8.366322214,5.169925001,5.129283017,4.321928095,5.129283017,7.06608919,5.357552005,6.845490051,6.930737338,7.960001932,6.409390936,5.426264755,9.344295908,6.62935662,4.700439718,4.64385619,9.082149041,4.169925001,0,0
Sample49,1,4.64385619,3.906890596,3.459431619,0,4.700439718,6.044394119,5,5.044394119,0,1,4,5.321928095,6.044394119,4.807354922,0,4.087462841,3.906890596,5.672425342,4.523561956,0,3.906890596,3.459431619,5.977279923,0,1
Sample50,1,1,4.754887502,0,0,7,6.108524457,4.459431619,3.807354922,1,4.087462841,5.169925001,5.832890014,3.459431619,9.761551232,0,3.169925001,7.577428828,7.876516947,4.523561956,1,3.459431619,3.700439718,6.781359714,3.700439718,1
Sample51,0,1,0,0,0,7.693486957,8.14974712,6.491853096,5.169925001,5.523561956,4.247927513,7.426264755,4.459431619,5.129283017,11.72024426,0,5.357552005,6,8.13442632,6.339850003,1,7.741466986,6.87036472,7.851749041,4.459431619,0
Sample52,0,6.781359714,6.247927513,1,5.247927513,7.312882955,8.375039431,7.330916878,4,0,5.426264755,5.930737338,2.584962501,5.832890014,10.15481811,5.426264755,6.584962501,5.554588852,8.851749041,5.129283017,5.491853096,7.294620749,5.044394119,8.055282436,4.857980995,0
Sample53,0,6.044394119,6.169925001,0,6.857980995,9.172427509,9.599912842,7.417852515,0,5.392317423,0,6.918863237,4.906890596,5.247927513,12.10099078,1,6.442943496,7.169925001,7.714245518,8.97441459,4.169925001,6.672425342,5.087462841,8.14974712,0,0
Sample54,0,1,4.700439718,1,0,8.994353437,6.614709844,6.741466986,4.087462841,4.523561956,0,4.169925001,4.459431619,4.95419631,12.53915881,1,4.857980995,5,8.370687407,6.285402219,0,5.727920455,4.807354922,8.558420713,0,0
Sample55,0,5.523561956,5.906890596,5,1,8.124121312,8.357552005,7.276124405,4.169925001,5.247927513,5.285402219,6.22881869,5.357552005,6.357552005,13.60420572,0,4.321928095,4.523561956,8.654636029,0,0,7.426264755,5.700439718,9.584962501,0,0
Sample56,0,5.247927513,5.930737338,1,5.754887502,9.326429487,8.326429487,7.994353437,4.247927513,0,0,6.409390936,5.977279923,5.247927513,14.22196466,0,5.672425342,0,6.930737338,0,4.584962501,8.851749041,4.584962501,7.17990909,0,0
Sample57,0,1,5.044394119,4.857980995,1,8.854868383,9.344295908,7.900866808,6.491853096,5.491853096,6.614709844,7.14974712,6.303780748,4.807354922,11.54012804,5.087462841,6,4.169925001,6.22881869,3.459431619,5.285402219,7.169925001,5.491853096,8.873444113,4.906890596,4.857980995
Sample58,0,4.247927513,6.426264755,4.906890596,0,8.897845456,9.033423002,7.761551232,5.614709844,5.357552005,5.169925001,6.64385619,5.285402219,5.491853096,11.95855272,4.459431619,7.21916852,5.169925001,8.405141463,4.087462841,4.523561956,7.22881869,4.523561956,7.636624621,0,5.426264755
Sample59,0,3.906890596,6.06608919,4.169925001,5.857980995,10.42836017,11.16427844,5.426264755,0,5.459431619,0,7,5.357552005,7.965784285,5.357552005,1,5.426264755,10.32979634,8.417852515,9.199672345,5.285402219,4.169925001,5.285402219,7.599912842,0,0
Sample60,0,1,1,4.247927513,0,8.247927513,9.73809226,7.584962501,4.247927513,1,4.906890596,6.894817763,6.189824559,4.584962501,13.98601977,0,5.882643049,4.169925001,8.098032083,1,1,7.055282436,5.209453366,8.857980995,0,0
Sample61,0,4.247927513,4.64385619,3.459431619,1,8.851749041,8.658211483,4.754887502,0,0,0,6.442943496,4.906890596,4.584962501,12.45429929,0,7.21916852,5.807354922,6.087462841,10.0768156,5.209453366,7.6794801,6.62935662,7.971543554,1,0
Sample62,0,4.247927513,0,1,0,9.328674927,9.537218401,7.721099189,1,0,0,6.807354922,5.781359714,6.169925001,10.88111396,4.459431619,6.044394119,5.614709844,8.731319031,4.087462841,1,8.77807713,6.375039431,7.321928095,1,0
Sample63,0,1,5.044394119,3.807354922,1,10.19229281,10.00422047,5.930737338,1,1,4.754887502,7.076815597,5.832890014,6.022367813,9.829722735,1,5.426264755,4.95419631,9.126704473,1,1,6.965784285,7.813781191,6.727920455,4.906890596,1
Sample64,0,0,4.807354922,4.321928095,0,8.95419631,9.796039609,8.247927513,0,6.686500527,1,7.569855608,5.459431619,5.64385619,12.41045135,6.321928095,6.247927513,5.491853096,9.529430554,6.357552005,4.392317423,6.409390936,7.209453366,8.184875343,0,0
Sample65,0,4.523561956,1,3.906890596,1,8.693486957,8.820178962,7.17990909,1,0,0,7.139551352,6.087462841,7.118941073,11.9162527,5.169925001,5,6.044394119,8.665335917,6.209453366,1,7.21916852,4.169925001,7.700439718,6.22881869,0
Sample66,0,6.599912842,4.754887502,1,0,9.315149562,8.909893084,6.357552005,0,1,4.321928095,6.022367813,2.584962501,5.087462841,12.8215747,0,6.129283017,6.087462841,8.781359714,4.169925001,0,8.54303182,0,7.459431619,0,0
Sample67,0,8.209453366,4.807354922,1,0,7.108524457,8.335390355,7.832890014,4.700439718,4.700439718,0,6.247927513,1,5.426264755,13.00790327,0,8.21916852,3.169925001,6.965784285,1,4.459431619,8.741466986,4.321928095,9.729620744,1,1
Sample68,0,0,4.754887502,1,0,8.930737338,9.77478706,8.531381461,0,0,4.321928095,6.339850003,7.321928095,7.189824559,11.97297979,4.700439718,6.189824559,7.276124405,9.092757141,4.169925001,5.781359714,8.640244936,4.906890596,8.581200582,5.357552005,0
Sample69,0,0,1,0,0,7.22881869,4.95419631,8.214319121,5.426264755,0,0,6.14974712,3.807354922,4,12.70455212,0,3.459431619,3.459431619,6.303780748,5.285402219,0,6.285402219,4.087462841,8.339850003,0,0
Sample70,0,10.11504365,6.392317423,4.087462841,0,7.54689446,9.722807531,6.22881869,1,6.044394119,4.247927513,7.294620749,4.906890596,5.426264755,10.01402047,1,6.62935662,3.321928095,8.781359714,5.807354922,4.754887502,4.584962501,5.044394119,8.451211112,0,0
Sample71,0,3.321928095,6.339850003,6.87036472,0,9.511752654,10.40514146,7.491853096,0,4.754887502,5.129283017,7.383704292,6.022367813,5.129283017,7.108524457,1,5.64385619,7.813781191,8.174925683,9.14974712,6.918863237,6.658211483,6.614709844,6.672425342,4.64385619,0
Sample72,0,0,1,3.700439718,6.523561956,8.495855027,8.487840034,7.159871337,1,5.087462841,4.857980995,5.392317423,5.044394119,5.781359714,12.54303182,1,5.392317423,6.426264755,9.027905997,8.491853096,0,8.266786541,4.584962501,8.951284715,0,4.087462841
Sample73,0,4.247927513,1,3.584962501,0,7.108524457,6.108524457,8.005624549,0,0,1,4.247927513,6.022367813,4.700439718,12.2644426,4.584962501,3,4.584962501,7.076815597,5.857980995,1,7.636624621,5.087462841,9.544964433,0,0
Sample74,0,4,5.285402219,4.392317423,0,8.22881869,6.491853096,7.539158811,5.554588852,5.64385619,1,6.392317423,4.321928095,5.459431619,13.33594857,5.426264755,5.554588852,5.882643049,8.335390355,4.584962501,5.321928095,7.459431619,5.285402219,9.182394353,5.285402219,4.64385619
Sample75,0,4.807354922,7.22881869,4.321928095,1,10.90388185,8.447083226,5.554588852,6.285402219,6.022367813,4.321928095,7.665335917,6.442943496,5.672425342,12.18456545,7.199672345,5.491853096,7.076815597,9.172427509,8.647458426,6.686500527,5.392317423,6.169925001,9.084808388,1,4.087462841
Sample76,0,0,0,5,0,9.027905997,7.882643049,8.370687407,1,5.247927513,5.285402219,5.491853096,6.794415866,5.554588852,14.01087772,4.906890596,6.14974712,6.247927513,8.588714636,5.64385619,5.614709844,7.483815777,6.554588852,8.092757141,0,0
Sample77,0,7,5.977279923,5.129283017,0,8.321928095,7.988684687,7.339850003,5.700439718,5.754887502,5.209453366,6.700439718,4.64385619,6.539158811,12.07547915,5.357552005,6.539158811,6.129283017,9.744833837,5.882643049,4.392317423,7.46760555,5,8.426264755,1,5.523561956
Sample78,0,3.459431619,1,4.459431619,0,7.87036472,8.276124405,8.174925683,4.64385619,0,1,5.754887502,3.584962501,5.357552005,12.64272864,0,4.700439718,6.375039431,7.768184325,3,4.321928095,8.422064766,4.857980995,8.813781191,1,1
Sample79,0,11.51963625,1,4.247927513,0,8.082149041,6.700439718,4.584962501,8.618385502,0,0,5.95419631,5.614709844,8.851749041,10.32418055,1,8.885696373,7.77478706,9.622051819,10.41679753,0,10.24792751,7.348728154,7.321928095,1,0
Sample80,0,0,1,0,1,8.515699838,5.727920455,8.194756854,0,1,0,5.392317423,5.044394119,4.64385619,6.189824559,4.906890596,6.459431619,6.807354922,8.77478706,4.459431619,1,7.6794801,6.781359714,6.339850003,0,1
Sample81,0,7.383704292,7.285402219,4.392317423,1,9.142107057,10.02097994,7.129283017,0,1,0,6.794415866,6.686500527,4.95419631,13.14051027,5.64385619,5.781359714,4.700439718,8.54303182,4.754887502,5.321928095,6.426264755,4.64385619,9.436711542,0,0
Sample82,0,4.321928095,5.169925001,0,0,8.495855027,7.539158811,8.430452552,0,0,0,5.491853096,4.321928095,6.044394119,10.57459353,0,5.672425342,5.95419631,7.826548487,7.569855608,1,8.103287808,7.108524457,10.00702727,6.845490051,0
Sample83,0,0,5.754887502,1,0,7.994353437,6.129283017,7.781359714,0,0,0,5.781359714,5.044394119,5.754887502,4,0,6.459431619,5.459431619,3.807354922,0,0,9.535275377,1,10.39767463,8.483815777,0
Sample84,0,7.199672345,6.06608919,0,5.857980995,9.501837185,9.337621902,6.845490051,4.584962501,4.523561956,1,7.491853096,6.832890014,5.321928095,11.52845411,0,5.321928095,6.303780748,9.221587121,4.087462841,5.247927513,5.614709844,6.442943496,8.375039431,0,4.087462841
Sample85,0,1,1,1,0,8.159871337,7.960001932,7.118941073,0,5.523561956,0,5.832890014,4.321928095,5.285402219,12.51323411,1,5.321928095,5.977279923,8.891783703,4.321928095,0,8.044394119,5.426264755,8.303780748,1,0
Sample86,0,4.584962501,6.247927513,4.247927513,0,10.15987134,11.56510208,6.857980995,4.087462841,5,4.247927513,7.614709844,5.781359714,5.930737338,10.08613623,0,4.95419631,4.906890596,8.361943774,7.741466986,1,7.199672345,5.491853096,8.764871591,5.727920455,0
Sample87,0,1,0,0,0,9.209453366,9.057991723,4.523561956,0,1,4.169925001,5.169925001,5.977279923,4.392317423,12.5137276,6.375039431,3,3.584962501,7.276124405,4.807354922,4.459431619,4,6.044394119,7,7.087462841,0
Sample88,0,9.672425342,5.392317423,1,0,9.967226259,10.20945337,7.169925001,7.055282436,5.169925001,5.459431619,7.209453366,8.832890014,6.06608919,10.04712391,4.857980995,2.584962501,5.459431619,8.791162889,9.319672121,5.209453366,7.754887502,5.285402219,7.339850003,6,0
Sample89,0,1,6.95419631,6.794415866,5.584962501,11.42888355,10.20212382,4.64385619,4,0,6.794415866,8.46760555,7.62935662,4.392317423,4.523561956,4.95419631,4.754887502,7.977279923,8.243173983,4.247927513,5,4.64385619,4.754887502,2,1,3.906890596
Sample90,0,6.087462841,5.491853096,1,0,10.56605404,10.08081753,6.087462841,4.087462841,0,0,7.055282436,4.087462841,5.727920455,12.05629901,0,5.584962501,6.247927513,8.573647187,3,5.169925001,8.103287808,5.491853096,8.647458426,1,4.584962501
Sample91,0,4.087462841,6.14974712,5.087462841,0,9.995767151,11.49335512,8.479780264,4.754887502,4.906890596,4.392317423,8.689997971,4.087462841,6.087462841,13.58766033,6.266786541,7.257387843,6.169925001,9.108524457,4.807354922,6.64385619,8.651051691,5.523561956,8.527477006,4.584962501,5.129283017
Sample92,0,0,1,4.087462841,1,8.016808288,7.577428828,5.169925001,4.64385619,1,5.247927513,5.977279923,7.055282436,4.087462841,13.54411923,4.700439718,4.64385619,5.727920455,6.918863237,0,0,7.727920455,6.977279923,8.243173983,5.523561956,1
Sample93,0,6.930737338,5.930737338,5.209453366,0,8.857980995,9.599912842,7.930737338,4,0,4.754887502,7.434628228,1,7.417852515,8.62935662,4.700439718,6.845490051,6.614709844,8.758223215,5.247927513,4,5.781359714,3.584962501,6.882643049,4.64385619,0
Sample94,0,7.794415866,7.864186145,5.930737338,1,11.51422091,10.41151099,7.584962501,6.14974712,6.768184325,0,8.118941073,2.584962501,7.781359714,9.303780748,4.64385619,5.209453366,8,9.763212367,6.209453366,6.832890014,7.098032083,5.807354922,6.768184325,7.569855608,1
Sample95,0,7.912889336,5.781359714,5.781359714,0,8.909893084,8.968666793,7.257387843,5.584962501,0,0,6.022367813,5.357552005,6.672425342,9.060695932,0,6.06608919,5.209453366,9.335390355,4.247927513,5.247927513,5.129283017,4.906890596,6.906890596,4.392317423,1
Sample96,0,5.672425342,6.209453366,5.129283017,1,8.939579214,8.826548487,5.614709844,4.754887502,4.087462841,1,7.169925001,4.906890596,5.754887502,6.022367813,1,5.169925001,6,8.400879436,1,1,3.700439718,4.95419631,5.807354922,0,0
Sample97,0,1,7.918863237,5.087462841,1,7.965784285,8.864186145,4.087462841,4.64385619,0,0,5.754887502,3.169925001,5.930737338,4.906890596,4.523561956,4.95419631,2.584962501,7.46760555,3.321928095,3.584962501,3.584962501,7.022367813,1.584962501,0,4.247927513
Sample98,0,7.21916852,5.321928095,5.754887502,0,7.417852515,7.294620749,7.348728154,6.087462841,6.658211483,4.321928095,8.011227255,1,7.845490051,7.665335917,6.820178962,3.584962501,8.794415866,11.02444712,4.169925001,0,5.672425342,7.199672345,6.459431619,1,0
Sample99,0,8.997179481,5.169925001,5.392317423,0,9.903881846,9.87036472,7.451211112,4.95419631,4.584962501,0,8.459431619,5.977279923,7.076815597,10.23361968,5.930737338,5.584962501,7.118941073,9.709083813,4.087462841,5.459431619,6.832890014,5,8.011227255,4.247927513,0
Sample100,0,6.965784285,5.857980995,5.321928095,0,7.714245518,7.17990909,6.95419631,0,0,5.169925001,7.392317423,3.807354922,6.044394119,8.442943496,5.357552005,5.781359714,6.794415866,9.791162889,8.744833837,6.392317423,5.857980995,3.459431619,7.247927513,1,4.523561956
Sample101,0,9.413627929,5.044394119,4.247927513,0,8.400879436,7.515699838,7.64385619,4,0,4.754887502,7.312882955,1,5.977279923,9.786269628,1,6.169925001,7.011227255,8.951284715,3.459431619,5.807354922,5.930737338,5.209453366,8.379378367,4.906890596,4.523561956
