AFP	APOBEC3A	ART3	CCL7	CXCL10	CXCL9	DNAH7	GRID2	HTR3A	KRT78	LAMP3	MYLK2	PGBD5	POTEKP	RAET1L	SLC28A2	SOX11	SPHK1	TH	TMEM171	TNRC18P1	TREM1	TTC6	UGT2B15	VRTN
sample12	1	10.0320457269308	9.80251636512122	10.8431359111114	13.5501455371808	12.9338750367073	4.85798099512757	4.32192809488736	5.93073733756289	11.0559602344523	9.73301532168596	9.07146236255662	7.16992500144231	4.70043971814109	9.45327063401062	2.8073549220576	10.604553229079	9.43671154213721	4	7.90689059560852	3.4594316186373	8.62935662007961	8.6724253419715	0	6.3037807481771
sample13	0	5.04439411935845	8.87958324961278	6.49185309632967	9.35314682549808	8.68299458368168	4.32192809488736	0	1	4.24792751344359	6.79441586635011	7.29462074889163	7.48381577726426	4.64385618977472	5.64385618977472	1	9.42836017270429	9.403012023575	0	5.55458885167764	2	7.14974711950468	1.58496250072116	0	4
sample14	3.58496250072116	7.64385618977472	9.05256805080415	8.37937836707126	12.8364449113414	11.9125151448024	4.58496250072116	0	5.55458885167764	6.75488750216347	10.3815429511846	7.39231742277876	7.95419631038687	5.39231742277876	8.20945336562895	5.24792751344359	11.6688849842662	9.5352753766208	4.64385618977472	6.59991284218713	2	7.13955135239879	1.58496250072116	0	0
sample15	4.24792751344359	10.4797802640291	10.5410966153495	8.4093909361377	14.3614640746316	14.9304139513827	4.16992500144231	0	7.56224242422107	6.20945336562895	10.8719052376592	5.88264304936184	6.7279204545632	6.44294349584873	7.49984588708321	4.08746284125034	8.64385618977473	9.81217730551445	5.83289001416474	8.35755200461808	2	6.4093909361377	2.32192809488736	1	5
sample16	1	7.71424551766612	8.97441458980553	7.82654848729092	12.6275338844728	11.1176431013891	4.85798099512757	0	5.61470984411521	8.98584193700334	10.7598881832218	7.81378119121704	10.6591039634737	1	8.53915881110803	3.8073549220576	10.9936460600166	9.63481105017172	1	7.81378119121704	1.58496250072116	7.22881869049588	1	0	8.26209484537018
sample17	4.16992500144231	6.79441586635011	8.21916852046216	6.68650052718322	9.7714894695006	10.2550285698187	2.8073549220576	5.12928301694497	4.24792751344359	6.18982455888002	8.00562454919388	7.39231742277876	5.12928301694497	5.6724253419715	5.32192809488736	4.4594316186373	9.32418054661874	8.01122725542325	0	5.70043971814109	2.58496250072116	7.33985000288462	2.8073549220576	1	3.90689059560852
sample18	0	1	7.48381577726426	0	7.23840473932508	6.53915881110803	4.70043971814109	1	0	7.56224242422107	6.08746284125034	8.08214904135387	6.39231742277876	1	0	3	10.1059085085712	9.49585502688717	0	4.75488750216347	3.70043971814109	4.8073549220576	5.04439411935845	0	4.90689059560852
sample19	3.58496250072116	9.38370429247405	6.62935662007961	8.03342300153745	11.8772841335232	11.9076418036655	3	1	0	5.64385618977472	9.88874324889826	7.52356195605701	8.95710204156229	5.04439411935845	7.90086680798075	4.39231742277876	11.7159619902551	10.8153832958135	6.8703647195834	5.88264304936184	2.32192809488736	7.15987133677839	3	0	7.02236781302845
sample20	0	5.4262647547021	6.4757334309664	0	8.35314682549808	8.04439411935845	5.49185309632967	4.75488750216347	1	6.64385618977472	6.12928301694497	8.09275714091985	5.4594316186373	3.70043971814109	0	2.58496250072116	2.8073549220576	8.59618975614441	0	3.8073549220576	5.88264304936184	4.8073549220576	6.3037807481771	0	0
sample21	0	9.32192809488736	11.2306209331299	9.30149619498255	12.4481163054095	12.5149605633302	3.90689059560852	1	10.5574637015978	6.4093909361377	11.8049376720519	8.64024493622235	10.3564519702218	5.49185309632967	7.36632221424582	4.39231742277876	9.86108690599539	8.30833903013941	6.16992500144231	8.14465824283188	3.16992500144231	7.62205181945638	1	4.70043971814109	9.22641219278879
sample22	0	7.92481250360578	9.49385544924082	5.6724253419715	10.4625022725973	9.07681559705083	6.52356195605701	4	1	9.16490692667569	7.08746284125034	8.58120058192496	5.58496250072116	5.61470984411521	6.4757334309664	6.06608919045777	8.90086680798075	8.76818432477693	5.4262647547021	7.96000193206808	3.8073549220576	6.49185309632967	1	0	0
sample23	0	8.66533591718518	10.9417812422785	9.14465824283188	11.7034710460719	11.0559602344523	2.58496250072116	6.53915881110803	4.75488750216347	8.82336724004623	9.45738087907253	7.16992500144231	9.71252700043982	5.52356195605701	7.19967234483636	4.64385618977472	10.595257481449	8.85174904141606	5.4594316186373	7.01122725542325	3.32192809488736	6.84549005094437	2.32192809488736	0	10.9505558970475
sample24	1	8.93663793900257	11.7652860987237	9.52552080909507	14.5889488203147	10.9016211583461	9.00281501560705	4.39231742277876	7.89481776330794	5.4262647547021	12.6677768383934	7.49984588708321	10.9113919878435	4.85798099512757	9.76818432477693	4.4594316186373	10.0457596613827	10.667111542075	0	9.43045255166553	3.70043971814109	8.43879185257826	3.8073549220576	0	6.4262647547021
sample25	0	7.76818432477693	11.8049376720519	6.32192809488736	11.0161118382205	11.5584207132687	6.06608919045777	0	5.4262647547021	10.8121773055144	9.05528243550119	8.74483383749955	9.75488750216347	6.33985000288462	7.27612440527424	2.8073549220576	11.3619437737352	9.89935692292311	7.35755200461808	7.4594316186373	2	7.5077946401987	1	0	10.2252074369435
sample26	3.58496250072116	7.67948009950545	7.32192809488736	7.03342300153745	9.9915218460757	10.3465137331656	3.90689059560852	4.24792751344359	5.24792751344359	6.84549005094437	7.93663793900257	9.68299458368168	5.55458885167764	6.96578428466209	5.55458885167764	3.90689059560852	10.1369911120802	11.0593444608244	1	4.58496250072116	4.39231742277876	5	1.58496250072116	0	4.16992500144231
sample27	5.78135971352466	7.93073733756289	12.8895039634115	8.5274770060604	12.9342437295386	11.5357613779867	6.82017896241519	0	8.24792751344359	4.4594316186373	10.4978518369511	6.4757334309664	11.5147140541385	8.3037807481771	8.31288295528435	4.64385618977472	10.6934869574993	8.61470984411521	6.20945336562895	8.49984588708321	3.90689059560852	8.11374216604919	4.85798099512757	1	6.24792751344359
sample28	0	9.44086916761087	8.55458885167764	9.67948009950545	10.9505558970475	8.83605035505807	4.32192809488736	5.55458885167764	9.29462074889163	9.41574176829009	10.6519486107234	8.48784003382305	10.298062567719	7.66533591718518	8.31741261376487	2.32192809488736	11.3874788658424	8.05528243550119	8.91587937883577	6.35755200461808	2.58496250072116	9.60362634498619	2	0	6.06608919045777
sample29	0	7.35755200461808	8.52356195605701	8.92481250360578	13.657430108963	13.9909016940636	5.90689059560852	0	6.4262647547021	6.4757334309664	9.79441586635011	8.51569983828404	9.57931593758001	4.32192809488736	8.57364718749332	6.4093909361377	11.502334580198	9.01402047031493	4.90689059560852	7.4093909361377	2.58496250072116	8.3037807481771	2.32192809488736	4.90689059560852	5.24792751344359
sample30	0	9.52943055414615	9.09011241966429	8.81698362325538	12.771283119641	13.210214722468	3.8073549220576	8.57742882803575	5.28540221886225	4.39231742277876	9.55074678538324	6.56985560833095	7.67948009950545	0	5.8073549220576	5.88264304936184	9.56414948998573	8.39660478118186	4.95419631038687	6.8703647195834	4.75488750216347	6.91886323727459	2.32192809488736	0	0
sample31	0	8.53138146051631	10.7202442582876	5.24792751344359	10.7598881832218	8.70735913208088	8.01680828768655	5.16992500144231	6.7279204545632	1	7.36632221424582	6.96578428466209	5.4594316186373	0	6.4093909361377	5.12928301694497	5.83289001416474	7.38370429247405	4.08746284125034	8.27612440527424	1	6.78135971352466	2.58496250072116	0	1
sample32	1	7.76155123244448	10.5961897561444	0	10.6803595235137	8.27612440527424	4.75488750216347	0	5.08746284125034	8.09275714091985	7.05528243550119	7.96578428466209	8.90689059560852	5.04439411935845	8.72451385311995	6	9.59432460392485	9.72451385311995	5.95419631038687	5.55458885167764	2	8.33985000288462	2.58496250072116	0	6.49185309632967
sample33	3.4594316186373	7.60733031374961	8.64385618977473	6.84549005094437	9.73131903102506	9.13185696060879	5.35755200461808	1	6.7279204545632	4.32192809488736	7.65105169117893	6.39231742277876	8.64024493622235	7.31288295528436	8.74146698640115	5.4262647547021	9.93073733756289	10.8089641749193	9.80413102118332	6.4093909361377	3.16992500144231	8.18982455888002	3.8073549220576	0	7.19967234483636
sample34	4.8073549220576	7.57742882803575	12.1636496760158	9.69696752623429	13.3626287816019	11.4040771362412	5.24792751344359	4.90689059560852	6.4594316186373	5.70043971814109	10.2784494582205	6.12928301694497	12.0515488384404	8.7515440590891	9.60733031374961	3.4594316186373	11.0402897210257	9.46352437327118	5.16992500144231	7.2667865406949	4.16992500144231	9.91737207947684	4.39231742277876	4.90689059560852	4.39231742277876
sample35	1	7.77478705960117	8.3037807481771	5.58496250072116	10.5555477716471	9.12670447284319	5.16992500144231	4.16992500144231	1	5.97727992349992	6.10852445677817	8.43045255166553	6.20945336562895	4.8073549220576	4.75488750216347	5.28540221886225	10.0660891904578	10.4665863377192	3.90689059560852	5.4262647547021	1.58496250072116	9.33985000288462	2.32192809488736	0	1
sample36	5.85798099512757	7.85798099512757	9.45327063401062	1	13.9719925300976	14.8482806118134	6.39231742277876	5.32192809488736	8.41362792902417	1	11.1124395067816	6.24792751344359	8.13955135239879	9.01122725542325	5.88264304936184	7.10852445677817	9.2336196767597	9.4241662888181	4.58496250072116	7.05528243550119	4.8073549220576	6.3037807481771	6.04439411935845	6.90689059560852	1
sample37	1	7.55458885167764	8.72451385311995	5.8073549220576	12.2012050072995	11.8285332104556	4.85798099512757	0	5.32192809488736	4.39231742277876	9.07681559705083	7.5077946401987	10.5736471874933	4.64385618977472	9.85953478638265	2.8073549220576	8.19475685442225	10.1124395067816	6.94251450533924	8.73809225962049	3.4594316186373	8.72451385311995	1.58496250072116	0	4.75488750216347
sample38	4.08746284125034	8.50382573799575	7.71424551766612	7.92481250360578	11.9744145898055	11.6197614632984	4.4594316186373	6	9.56033283421244	8.70390357344466	9.06608919045777	7.91288933622996	10.0647427647503	6.02236781302845	9.51766938813381	2.32192809488736	12.1208858427878	9.876516946565	7.24792751344359	8.03342300153745	2.58496250072116	7.35755200461808	5.61470984411521	1	0
sample39	3.4594316186373	8.66533591718518	6.76818432477693	8.84549005094438	12.1503819688178	11.4963544885646	5.35755200461808	4.24792751344359	7.7279204545632	4.90689059560852	9.2045711442492	9.37937836707126	5.64385618977472	10.7304701371842	1	5.83289001416474	11.3944626946103	7.64385618977472	4.16992500144231	6.44294349584873	4.8073549220576	5.93073733756289	10.0430272835945	4.52356195605701	4.70043971814109
sample40	4	9.5372184005386	9.21674585819531	9.21916852046216	13.0692819243654	10.4918530963297	4	1	4.8073549220576	5.55458885167764	9.54689445988764	6.24792751344359	6.2667865406949	7.90086680798075	8.87344411251538	1	6.59991284218713	10.3901689562002	4.58496250072116	5.35755200461808	3	7.88874324889826	4.4594316186373	5.12928301694497	1
sample41	0	6.20945336562895	6.20945336562895	0	8.60733031374961	10.3553510964248	4.95419631038687	0	7.78135971352466	6.2667865406949	7.16992500144231	4.90689059560852	7.59245703726808	0	9.39231742277876	1	4.64385618977472	9.90989308377004	6.52356195605701	5.24792751344359	3	4.16992500144231	1.58496250072116	4.16992500144231	6.08746284125034
sample42	4.16992500144231	8.22881869049588	7.58496250072116	8.77807712953536	15.0868825967491	13.9680367363935	5.64385618977472	0	6.18982455888002	5.4262647547021	11.0265234425198	6.59991284218713	7.15987133677839	5.83289001416474	8.55842071326866	1	11.1085244567782	9.37721053038855	1	9.58683978796183	2.32192809488736	6.79441586635011	3.16992500144231	0	0
sample43	0	7.45121111183233	7.14974711950468	6.39231742277876	9.55842071326866	7.876516946565	7.3037807481771	1	1	4.24792751344359	6.56985560833095	9.66711154207503	6.08746284125034	5.16992500144231	7.83920378809694	4.16992500144231	10.8129794712515	9.58871463558226	5.4594316186373	6.44294349584873	3	7.86418614465428	2.32192809488736	0	5.4594316186373
sample44	3.32192809488736	5.55458885167764	0	8.46352437327118	6.90689059560852	6.28540221886225	5.88264304936184	4	5.04439411935845	7.48381577726426	5.4594316186373	6.3037807481771	7.44294349584873	3.8073549220576	8.33539035469392	4	7.38370429247405	9.4757334309664	3.4594316186373	6.70043971814109	1.58496250072116	8.86108690599539	1	0	4
sample45	0	6.74146698640115	7.82654848729092	6.24792751344359	13.0141948668145	11.5994479815287	4.16992500144231	4.64385618977472	6.71424551766612	4.85798099512757	7.86418614465428	7.05528243550119	7.25738784269265	4	6.76818432477693	3	8.61838550225861	8.87958324961278	4.16992500144231	6.10852445677817	2	7.40087943628218	1	0	4.08746284125034
sample46	0	7.64385618977472	5.58496250072116	0	10.3542493819452	8.20945336562895	2	0	1	6.70043971814109	8.26209484537018	7.44294349584873	4.75488750216347	5.28540221886225	6.16992500144231	0	11.0801513096141	10.4655664048094	4.16992500144231	7.39231742277876	1	4.90689059560852	1	0	4.08746284125034
sample47	7.39231742277876	6.56985560833095	6.96578428466209	1	9.59245703726808	9.76652890859886	6.6724253419715	4	8.74483383749955	4.16992500144231	8.61470984411521	4.32192809488736	6.20945336562895	10.8879821330585	4.75488750216347	4	5.49185309632967	8.02790599656988	6.2667865406949	5.75488750216347	5.85798099512757	5.78135971352466	6.89481776330794	6.55458885167764	7.39231742277876
sample48	3.8073549220576	5.75488750216347	5.49185309632967	6.4093909361377	8.21916852046216	8.36632221424582	5.16992500144231	5.12928301694497	4.32192809488736	5.12928301694497	7.06608919045777	5.35755200461808	6.84549005094437	6.93073733756289	7.96000193206808	6.4093909361377	5.4262647547021	9.34429590791582	6.62935662007961	4.70043971814109	4.64385618977472	9.08214904135387	4.16992500144231	0	0
sample49	4.64385618977472	3.90689059560852	3.4594316186373	0	4.70043971814109	6.04439411935845	5	5.04439411935845	0	1	4	5.32192809488736	6.04439411935845	4.8073549220576	0	4.08746284125034	3.90689059560852	5.6724253419715	4.52356195605701	0	3.90689059560852	3.4594316186373	5.97727992349992	0	1
sample50	1	4.75488750216347	0	0	7	6.10852445677817	4.4594316186373	3.8073549220576	1	4.08746284125034	5.16992500144231	5.83289001416474	3.4594316186373	9.76155123244448	0	3.16992500144231	7.57742882803575	7.876516946565	4.52356195605701	1	3.4594316186373	3.70043971814109	6.78135971352466	3.70043971814109	1
sample51	1	0	0	0	7.69348695749933	8.14974711950468	6.49185309632967	5.16992500144231	5.52356195605701	4.24792751344359	7.4262647547021	4.4594316186373	5.12928301694497	11.7202442582876	0	5.35755200461808	6	8.13442632022093	6.33985000288462	1	7.74146698640115	6.8703647195834	7.85174904141606	4.4594316186373	0
sample52	6.78135971352466	6.24792751344359	1	5.24792751344359	7.31288295528436	8.37503943134693	7.33091687811462	4	0	5.4262647547021	5.93073733756289	2.58496250072116	5.83289001416474	10.1548181090521	5.4262647547021	6.58496250072116	5.55458885167764	8.85174904141606	5.12928301694497	5.49185309632967	7.29462074889163	5.04439411935845	8.05528243550119	4.85798099512757	0
sample53	6.04439411935845	6.16992500144231	0	6.85798099512757	9.17242750864548	9.59991284218713	7.4178525148859	0	5.39231742277876	0	6.91886323727459	4.90689059560852	5.24792751344359	12.1009907840928	1	6.44294349584873	7.16992500144231	7.71424551766612	8.97441458980553	4.16992500144231	6.6724253419715	5.08746284125034	8.14974711950468	0	0
sample54	1	4.70043971814109	1	0	8.99435343685886	6.61470984411521	6.74146698640115	4.08746284125034	4.52356195605701	0	4.16992500144231	4.4594316186373	4.95419631038687	12.539158811108	1	4.85798099512757	5	8.37068740680722	6.28540221886225	0	5.7279204545632	4.8073549220576	8.55842071326866	0	0
sample55	5.52356195605701	5.90689059560852	5	1	8.12412131182919	8.35755200461808	7.27612440527424	4.16992500144231	5.24792751344359	5.28540221886225	6.22881869049588	5.35755200461808	6.35755200461808	13.6042057173248	0	4.32192809488736	4.52356195605701	8.65463602852797	0	0	7.4262647547021	5.70043971814109	9.58496250072116	0	0
sample56	5.24792751344359	5.93073733756289	1	5.75488750216347	9.3264294871223	8.3264294871223	7.99435343685886	4.24792751344359	0	0	6.4093909361377	5.97727992349992	5.24792751344359	14.2219646616435	0	5.6724253419715	0	6.93073733756289	0	4.58496250072116	8.85174904141606	4.58496250072116	7.17990909001493	0	0
sample57	1	5.04439411935845	4.85798099512757	1	8.85486838326024	9.34429590791582	7.90086680798075	6.49185309632967	5.49185309632967	6.61470984411521	7.14974711950468	6.3037807481771	4.8073549220576	11.5401280385821	5.08746284125034	6	4.16992500144231	6.22881869049588	3.4594316186373	5.28540221886225	7.16992500144231	5.49185309632967	8.87344411251538	4.90689059560852	4.85798099512757
sample58	4.24792751344359	6.4262647547021	4.90689059560852	0	8.89784545600551	9.03342300153745	7.76155123244448	5.61470984411521	5.35755200461808	5.16992500144231	6.64385618977472	5.28540221886225	5.49185309632967	11.958552715431	4.4594316186373	7.21916852046216	5.16992500144231	8.40514146313634	4.08746284125034	4.52356195605701	7.22881869049588	4.52356195605701	7.63662462054365	0	5.4262647547021
sample59	3.90689059560852	6.06608919045777	4.16992500144231	5.85798099512757	10.4283601727043	11.1642784383012	5.4262647547021	0	5.4594316186373	0	7	5.35755200461808	7.96578428466209	5.35755200461808	1	5.4262647547021	10.3297963382207	8.4178525148859	9.19967234483636	5.28540221886225	4.16992500144231	5.28540221886225	7.59991284218713	0	0
sample60	1	1	4.24792751344359	0	8.24792751344359	9.73809225962049	7.58496250072116	4.24792751344359	1	4.90689059560852	6.89481776330794	6.18982455888002	4.58496250072116	13.9860197730641	0	5.88264304936184	4.16992500144231	8.09803208296053	1	1	7.05528243550119	5.20945336562895	8.85798099512757	0	0
sample61	4.24792751344359	4.64385618977472	3.4594316186373	1	8.85174904141606	8.6582114827518	4.75488750216347	0	0	0	6.44294349584873	4.90689059560852	4.58496250072116	12.4542992936199	0	7.21916852046216	5.8073549220576	6.08746284125034	10.0768155970508	5.20945336562895	7.67948009950545	6.62935662007961	7.97154355395077	1	0
sample62	4.24792751344359	0	1	0	9.32867492732795	9.5372184005386	7.72109918870718	1	0	0	6.8073549220576	5.78135971352466	6.16992500144231	10.8811139606751	4.4594316186373	6.04439411935845	5.61470984411521	8.73131903102506	4.08746284125034	1	8.77807712953536	6.37503943134692	7.32192809488736	1	0
sample63	1	5.04439411935845	3.8073549220576	1	10.1922928144708	10.0042204663182	5.93073733756289	1	1	4.75488750216347	7.07681559705083	5.83289001416474	6.02236781302845	9.82972273508606	1	5.4262647547021	4.95419631038687	9.12670447284319	1	1	6.96578428466209	7.81378119121704	6.7279204545632	4.90689059560852	1
sample64	0	4.8073549220576	4.32192809488736	0	8.95419631038687	9.79603960882977	8.24792751344359	0	6.68650052718322	1	7.56985560833095	5.4594316186373	5.64385618977472	12.410451351504	6.32192809488736	6.24792751344359	5.49185309632967	9.52943055414615	6.35755200461808	4.39231742277876	6.4093909361377	7.20945336562895	8.18487534290828	0	0
sample65	4.52356195605701	1	3.90689059560852	1	8.69348695749933	8.82017896241519	7.17990909001493	1	0	0	7.13955135239879	6.08746284125034	7.11894107272351	11.9162526988122	5.16992500144231	5	6.04439411935845	8.66533591718518	6.20945336562895	1	7.21916852046216	4.16992500144231	7.70043971814109	6.22881869049588	0
sample66	6.59991284218713	4.75488750216347	1	0	9.3151495622563	8.90989308377004	6.35755200461808	0	1	4.32192809488736	6.02236781302845	2.58496250072116	5.08746284125034	12.8215747009369	0	6.12928301694497	6.08746284125034	8.78135971352466	4.16992500144231	0	8.54303182025524	0	7.4594316186373	0	0
sample67	8.20945336562895	4.8073549220576	1	0	7.10852445677817	8.33539035469392	7.83289001416474	4.70043971814109	4.70043971814109	0	6.24792751344359	1	5.4262647547021	13.007903273382	0	8.21916852046216	3.16992500144231	6.96578428466209	1	4.4594316186373	8.74146698640115	4.32192809488736	9.72962074355304	1	1
sample68	0	4.75488750216347	1	0	8.93073733756289	9.77478705960117	8.53138146051631	0	0	4.32192809488736	6.33985000288462	7.32192809488736	7.18982455888002	11.9729797860663	4.70043971814109	6.18982455888002	7.27612440527424	9.09275714091985	4.16992500144231	5.78135971352466	8.64024493622235	4.90689059560852	8.58120058192496	5.35755200461808	0
sample69	0	1	0	0	7.22881869049588	4.95419631038687	8.21431912080077	5.4262647547021	0	0	6.14974711950468	3.8073549220576	4	12.7045521214623	0	3.4594316186373	3.4594316186373	6.3037807481771	5.28540221886225	0	6.28540221886225	4.08746284125034	8.33985000288462	0	0
sample70	10.1150436501617	6.39231742277876	4.08746284125034	0	7.54689445988764	9.72280753116955	6.22881869049588	1	6.04439411935845	4.24792751344359	7.29462074889163	4.90689059560852	5.4262647547021	10.0140204703149	1	6.62935662007961	3.32192809488736	8.78135971352466	5.8073549220576	4.75488750216347	4.58496250072116	5.04439411935845	8.45121111183233	0	0
sample71	3.32192809488736	6.33985000288462	6.8703647195834	0	9.51175265376738	10.4051414631363	7.49185309632967	0	4.75488750216347	5.12928301694497	7.38370429247405	6.02236781302845	5.12928301694497	7.10852445677817	1	5.64385618977472	7.81378119121704	8.17492568250068	9.14974711950468	6.91886323727459	6.65821148275179	6.61470984411521	6.6724253419715	4.64385618977472	0
sample72	0	1	3.70043971814109	6.52356195605701	8.49585502688717	8.48784003382305	7.15987133677839	1	5.08746284125034	4.85798099512757	5.39231742277876	5.04439411935845	5.78135971352466	12.5430318202552	1	5.39231742277876	6.4262647547021	9.02790599656988	8.49185309632967	0	8.2667865406949	4.58496250072116	8.95128471496697	0	4.08746284125034
sample73	4.24792751344359	1	3.58496250072116	0	7.10852445677817	6.10852445677817	8.00562454919388	0	0	1	4.24792751344359	6.02236781302845	4.70043971814109	12.2644426002266	4.58496250072116	3	4.58496250072116	7.07681559705083	5.85798099512757	1	7.63662462054365	5.08746284125034	9.54496443278924	0	0
sample74	4	5.28540221886225	4.39231742277876	0	8.22881869049588	6.49185309632967	7.53915881110803	5.55458885167764	5.64385618977472	1	6.39231742277876	4.32192809488736	5.4594316186373	13.3359485652023	5.4262647547021	5.55458885167764	5.88264304936184	8.33539035469392	4.58496250072116	5.32192809488736	7.4594316186373	5.28540221886225	9.18239435340453	5.28540221886225	4.64385618977472
sample75	4.8073549220576	7.22881869049588	4.32192809488736	1	10.9038818457362	8.44708322620965	5.55458885167764	6.28540221886225	6.02236781302845	4.32192809488736	7.66533591718518	6.44294349584873	5.6724253419715	12.1845654524462	7.19967234483636	5.49185309632967	7.07681559705083	9.17242750864548	8.64745842645492	6.68650052718322	5.39231742277876	6.16992500144231	9.08480838780436	1	4.08746284125034
sample76	0	0	5	0	9.02790599656988	7.88264304936184	8.37068740680722	1	5.24792751344359	5.28540221886225	5.49185309632967	6.79441586635011	5.55458885167764	14.010877723007	4.90689059560852	6.14974711950468	6.24792751344359	8.58871463558226	5.64385618977472	5.61470984411521	7.48381577726426	6.55458885167764	8.09275714091985	0	0
sample77	7	5.97727992349992	5.12928301694497	0	8.32192809488736	7.98868468677217	7.33985000288462	5.70043971814109	5.75488750216347	5.20945336562895	6.70043971814109	4.64385618977472	6.53915881110803	12.075479149488	5.35755200461808	6.53915881110803	6.12928301694497	9.74483383749955	5.88264304936184	4.39231742277876	7.467605550083	5	8.4262647547021	1	5.52356195605701
sample78	3.4594316186373	1	4.4594316186373	0	7.8703647195834	8.27612440527424	8.17492568250068	4.64385618977472	0	1	5.75488750216347	3.58496250072116	5.35755200461808	12.642728643769	0	4.70043971814109	6.37503943134692	7.76818432477693	3	4.32192809488736	8.42206476617281	4.85798099512757	8.81378119121704	1	1
sample79	11.5196362528432	1	4.24792751344359	0	8.08214904135387	6.70043971814109	4.58496250072116	8.61838550225861	0	0	5.95419631038687	5.61470984411521	8.85174904141606	10.3241805466187	1	8.88569637333939	7.77478705960117	9.62205181945638	10.4167975276061	0	10.2479275134436	7.34872815423108	7.32192809488736	1	0
sample80	0	1	0	1	8.51569983828404	5.7279204545632	8.19475685442225	0	1	0	5.39231742277876	5.04439411935845	4.64385618977472	6.18982455888002	4.90689059560852	6.4594316186373	6.8073549220576	8.77478705960117	4.4594316186373	1	7.67948009950545	6.78135971352466	6.33985000288462	0	1
